car type ,made in ,number of cars in jordan ,car age ,part ,failure rate ,price of the car ,original/imitator,new\used,selling location,service location (repair shop/automotive company,repair or replacement cost ,car total maintenance cost average,critically  ,on line price ,demand
4,1,1841,4,9,0.263157895,15000,1,0,1,1,10,8200,0.06,20,4.844736842
2,3,686,1,12,0.0896,19500,1,1,3,2,30,9100,0.1297,71,0.614656
1,2,1924,12,24,0.0862,8700,1,0,1,1,10,5500,0.1275,56.08,1.658488
1,2,747,3,4,0.1724,19300,1,0,1,1,10,5500,0.1244,21.03,1.287828
3,2,1562,4,10,0.13,14800,0,1,2,1,10,5500,0.2342,50,2.0306
4,1,146,1,4,0.263157895,20500,1,1,3,2,20,8200,0.1244,28,0.384210526
4,1,2720,7,19,0.328947368,12000,1,0,2,1,15,8200,0.1417,70,8.947368421
3,2,457,2,31,0.07,17400,0,1,1,1,30,5500,0.0996,255.865,0.3199
2,3,3221,2,4,0.1724,17500,1,1,3,2,20,9100,0.1244,56.08,5.553004
3,2,26,1,31,0.07,18400,0,1,2,1,30,5500,0.0996,255.865,0.0182
1,2,1516,5,30,0.172413793,16800,1,0,2,1,15,5500,0.0743,100,2.613793103
4,1,2720,7,15,0.065789474,12000,1,0,1,1,50,8200,0.1135,50,1.789473684
2,3,5772,7,14,0.1108,14000,1,1,2,1,15,9100,0.1249,89.027,6.395376
1,2,747,3,16,0.25862069,19300,1,0,1,1,10,5500,0.0912,70.1,1.931896552
1,2,4414,8,6,0.645833333,12500,1,1,1,1,10,5500,0.1249,15,28.50708333
2,3,2009,10,11,0.6272,11900,1,1,3,1,15,9100,0.0552,86,12.600448
2,3,686,1,32,0.7168,19500,1,1,3,2,30,9100,0.0525,254,4.917248
4,1,1841,4,31,0.0896,15000,1,0,2,1,35,8200,0.0996,100,1.649536
3,2,698,15,28,0.8,6600,1,1,3,1,40,5500,0.107,205,5.584
2,3,5772,7,31,0.0896,14000,0,1,1,1,30,9100,0.0996,255.865,5.171712
3,2,273,14,12,0.8,7050,1,0,1,1,10,5500,0.1297,30,2.184
1,2,792,1,14,0.333333333,25200,1,1,3,1,15,5500,0.1249,89.027,2.64
4,1,1055,3,35,0.394736842,15700,1,1,3,2,60,8200,0.0618,1483,4.164473684
3,2,273,14,6,0.8,7050,1,1,2,1,10,5500,0.1249,15,2.184
1,2,1924,12,31,0.1719,8700,1,1,1,1,30,5500,0.0996,171.044,3.307356
2,3,1604,9,26,0.0896,12400,1,1,3,1,20,9100,0.0662,385,1.437184
3,2,3995,5,5,0.64,13000,1,1,3,2,10,5500,0.1053,39,25.568
3,2,3003,12,26,0.2,7950,1,0,2,1,20,5500,0.0662,115,6.006
2,3,2009,10,7,0.1792,11900,1,1,3,2,15,9100,0.0511,41,3.600128
3,2,1523,3,12,0.7,15300,1,1,3,1,10,5500,0.1297,70,10.661
1,2,792,1,26,0.166666667,25200,1,0,2,1,20,5500,0.0662,140.2,1.32
1,2,2031,10,22,0.166666667,10700,1,1,3,1,40,5500,0.1233,100,3.385
2,3,2009,10,12,0.0896,11900,0,1,2,1,15,9100,0.1297,40,1.800064
1,2,4414,8,35,0.2579,12500,1,0,2,1,40,5500,0.0618,400,11.383706
1,2,5071,11,27,0.4299,9300,1,1,3,2,20,5500,0.4333,413,21.800229
3,2,3800,6,21,0.08,11500,1,0,1,1,25,5500,0.1104,150,3.04
2,3,5772,7,18,0.0831,14000,1,0,2,1,10,9100,0.1417,50,4.796532
2,3,2098,4,31,0.0896,16000,1,1,2,1,30,9100,0.0996,175.951,1.879808
2,3,2009,10,17,0.0831,11900,1,1,3,1,10,9100,0.1275,103.748,1.669479
4,1,2632,6,36,0.026315789,13700,1,1,3,2,250,8200,0.1,3281,0.692631579
1,2,2031,10,7,0.166666667,10700,1,1,2,1,10,5500,0.0511,63,3.385
4,1,1055,3,21,0.131578947,15700,1,1,3,1,25,8200,0.1104,500,1.388157895
3,2,9315,10,7,0.2,9700,1,1,3,1,5,5500,0.0511,41,18.63
1,2,792,1,13,0.0859,25200,1,0,2,1,10,5500,0.0951,21.03,0.680328
3,2,1523,3,14,0.7,15300,1,0,1,1,20,5500,0.1249,40,10.661
2,3,5772,7,1,0.3047,14000,1,1,3,2,1,9100,0.0229,19,17.587284
2,3,2009,10,16,0.0896,11900,1,1,3,2,20,9100,0.0912,180.157,1.800064
3,2,457,2,11,0.02,17400,1,1,3,2,50,5500,0.0552,160,0.0914
3,2,457,2,36,0.001,17400,1,1,3,2,240,5500,0.1,6120,0.00457
1,2,792,1,5,0.3334,25200,1,1,3,2,20,5500,0.1053,37.854,2.640528
4,1,874,2,23,0.263157895,20000,1,0,2,1,15,8200,0.07,100,2.3
3,2,3571,11,20,0.6,8500,1,1,3,1,20,5500,0.1143,46.09,21.426
3,2,5864,8,36,0.001,10450,1,0,2,1,100,5500,0.1,2000,0.05864
1,2,2213,6,3,0.086206897,15500,1,0,2,1,40,5500,0.0563,20,1.907758621
4,1,2392,5,28,0.328947368,13800,1,0,1,1,40,8200,0.107,150,7.868421053
3,2,1562,4,15,0.01,14800,1,1,3,2,150,5500,0.1135,140,0.1562
1,2,2031,10,27,0.4299,10700,1,1,3,2,20,5500,0.4333,413,8.731269
1,2,350,2,5,0.3334,23100,1,1,1,1,10,5500,0.1053,37.854,1.1669
1,2,2315,9,21,0.5159,12000,0,1,1,1,20,5500,0.1104,98.14,11.943085
1,2,550,4,7,0.166666667,17400,1,1,2,1,10,5500,0.0511,52.575,0.916666667
2,3,7212,6,28,0.25862069,15500,1,1,2,1,40,9100,0.107,1124,18.65172414
2,3,3221,2,32,0.7168,17500,1,0,2,1,20,9100,0.0525,100,23.088128
4,1,2392,5,34,0.263157895,13800,1,0,1,1,30,8200,0.1934,1500,6.294736842
4,1,146,1,20,0.344827586,20500,1,0,2,1,25,8200,0.1143,100,0.503448276
3,2,273,14,9,0.12,7050,1,0,2,1,10,5500,0.06,30,0.3276
3,2,3995,5,6,0.47,13000,1,1,3,1,10,5500,0.1249,50.472,18.7765
3,2,814,13,12,0.8,7500,1,0,1,1,10,5500,0.1297,30,6.512
1,2,4414,8,16,0.0859,12500,1,1,3,2,20,5500,0.0912,180.157,3.791626
1,2,550,4,2,1.874117232,17400,0,1,1,1,3,5500,0.03,7,10.30764477
2,3,1604,9,24,0.0896,12400,1,1,2,1,20,9100,0.1275,233.433,1.437184
1,2,550,4,4,0.1724,17400,0,1,1,1,10,5500,0.1244,24.535,0.9482
3,2,3800,6,21,0.08,11500,0,1,1,1,20,5500,0.1104,98.14,3.04
2,3,5772,7,16,0.0554,14000,1,0,1,1,10,9100,0.0912,60,3.197688
3,2,273,14,7,0.2,7050,1,1,3,2,10,5500,0.0511,41,0.546
